season,episode,feature,artist,artist_name,artist_relationship
2,12,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,12,TREE,BOB_ROSS,Bob Ross,Himself
2,12,TREES,BOB_ROSS,Bob Ross,Himself
2,12,WATERFALL,BOB_ROSS,Bob Ross,Himself
2,13,BUSHES,BOB_ROSS,Bob Ross,Himself
2,13,CLOUDS,BOB_ROSS,Bob Ross,Himself
2,13,CONIFER,BOB_ROSS,Bob Ross,Himself
2,13,CUMULUS,BOB_ROSS,Bob Ross,Himself
2,13,LAKE,BOB_ROSS,Bob Ross,Himself
2,13,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,13,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
2,13,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
2,13,TREE,BOB_ROSS,Bob Ross,Himself
2,13,TREES,BOB_ROSS,Bob Ross,Himself
3,1,BUSHES,BOB_ROSS,Bob Ross,Himself
3,1,CABIN,BOB_ROSS,Bob Ross,Himself
3,1,CONIFER,BOB_ROSS,Bob Ross,Himself
3,1,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,1,LAKE,BOB_ROSS,Bob Ross,Himself
3,1,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
3,1,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
3,1,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,1,TREE,BOB_ROSS,Bob Ross,Himself
3,1,TREES,BOB_ROSS,Bob Ross,Himself
3,2,CLOUDS,BOB_ROSS,Bob Ross,Himself
3,2,CUMULUS,BOB_ROSS,Bob Ross,Himself
3,2,MOON,BOB_ROSS,Bob Ross,Himself
3,2,NIGHT,BOB_ROSS,Bob Ross,Himself
3,2,OCEAN,BOB_ROSS,Bob Ross,Himself
3,2,PALM_TREES,BOB_ROSS,Bob Ross,Himself
3,2,TREE,BOB_ROSS,Bob Ross,Himself
3,2,TREES,BOB_ROSS,Bob Ross,Himself
3,2,WAVES,BOB_ROSS,Bob Ross,Himself
3,3,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,3,GRASS,BOB_ROSS,Bob Ross,Himself
3,3,RIVER,BOB_ROSS,Bob Ross,Himself
3,3,ROCKS,BOB_ROSS,Bob Ross,Himself
3,3,TREE,BOB_ROSS,Bob Ross,Himself
3,3,TREES,BOB_ROSS,Bob Ross,Himself
3,4,CABIN,BOB_ROSS,Bob Ross,Himself
3,4,CONIFER,BOB_ROSS,Bob Ross,Himself
3,4,SNOW,BOB_ROSS,Bob Ross,Himself
3,4,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,4,TREE,BOB_ROSS,Bob Ross,Himself
3,4,TREES,BOB_ROSS,Bob Ross,Himself
3,4,WINTER,BOB_ROSS,Bob Ross,Himself
3,5,CIRRUS,BOB_ROSS,Bob Ross,Himself
3,5,CLOUDS,BOB_ROSS,Bob Ross,Himself
3,5,CONIFER,BOB_ROSS,Bob Ross,Himself
3,5,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,5,HILLS,BOB_ROSS,Bob Ross,Himself
3,5,LAKE,BOB_ROSS,Bob Ross,Himself
3,5,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
3,5,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
3,5,TREE,BOB_ROSS,Bob Ross,Himself
3,5,TREES,BOB_ROSS,Bob Ross,Himself
3,6,BRIDGE,BOB_ROSS,Bob Ross,Himself
3,6,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,6,PATH,BOB_ROSS,Bob Ross,Himself
3,6,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,6,TREE,BOB_ROSS,Bob Ross,Himself
3,6,TREES,BOB_ROSS,Bob Ross,Himself
3,7,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,7,LAKE,BOB_ROSS,Bob Ross,Himself
3,7,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
3,7,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
3,7,TREE,BOB_ROSS,Bob Ross,Himself
3,7,TREES,BOB_ROSS,Bob Ross,Himself
3,8,CLIFF,BOB_ROSS,Bob Ross,Himself
3,8,CLOUDS,BOB_ROSS,Bob Ross,Himself
3,8,CUMULUS,BOB_ROSS,Bob Ross,Himself
3,8,LIGHTHOUSE,BOB_ROSS,Bob Ross,Himself
3,8,NIGHT,BOB_ROSS,Bob Ross,Himself
3,8,OCEAN,BOB_ROSS,Bob Ross,Himself
3,8,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,8,WAVES,BOB_ROSS,Bob Ross,Himself
3,9,BUSHES,BOB_ROSS,Bob Ross,Himself
3,9,CABIN,BOB_ROSS,Bob Ross,Himself
3,9,CLOUDS,BOB_ROSS,Bob Ross,Himself
3,9,CUMULUS,BOB_ROSS,Bob Ross,Himself
3,9,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,9,MILL,BOB_ROSS,Bob Ross,Himself
3,9,RIVER,BOB_ROSS,Bob Ross,Himself
3,9,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,9,TREE,BOB_ROSS,Bob Ross,Himself
3,9,TREES,BOB_ROSS,Bob Ross,Himself
3,10,BUSHES,BOB_ROSS,Bob Ross,Himself
3,10,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,10,FIRE,BOB_ROSS,Bob Ross,Himself
3,10,LAKE,BOB_ROSS,Bob Ross,Himself
3,10,PERSON,BOB_ROSS,Bob Ross,Himself
3,10,TREE,BOB_ROSS,Bob Ross,Himself
3,10,TREES,BOB_ROSS,Bob Ross,Himself
3,11,BARN,BOB_ROSS,Bob Ross,Himself
3,11,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,11,FENCE,BOB_ROSS,Bob Ross,Himself
3,11,LAKE,BOB_ROSS,Bob Ross,Himself
3,11,STRUCTURE,BOB_ROSS,Bob Ross,Himself
3,11,TREE,BOB_ROSS,Bob Ross,Himself
3,11,TREES,BOB_ROSS,Bob Ross,Himself
3,12,BUSHES,BOB_ROSS,Bob Ross,Himself
3,12,CONIFER,BOB_ROSS,Bob Ross,Himself
3,12,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
3,12,LAKE,BOB_ROSS,Bob Ross,Himself
3,12,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
3,12,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
3,12,TREE,BOB_ROSS,Bob Ross,Himself
3,12,TREES,BOB_ROSS,Bob Ross,Himself
4,1,CABIN,BOB_ROSS,Bob Ross,Himself
4,1,CONIFER,BOB_ROSS,Bob Ross,Himself
4,1,LAKE,BOB_ROSS,Bob Ross,Himself
4,1,SNOW,BOB_ROSS,Bob Ross,Himself
4,1,STRUCTURE,BOB_ROSS,Bob Ross,Himself
4,1,TREE,BOB_ROSS,Bob Ross,Himself
4,1,TREES,BOB_ROSS,Bob Ross,Himself
4,1,WINTER,BOB_ROSS,Bob Ross,Himself
4,2,BUSHES,BOB_ROSS,Bob Ross,Himself
4,2,CLOUDS,BOB_ROSS,Bob Ross,Himself
4,2,CUMULUS,BOB_ROSS,Bob Ross,Himself
4,2,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
4,2,GRASS,BOB_ROSS,Bob Ross,Himself
4,2,LAKE,BOB_ROSS,Bob Ross,Himself
4,2,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,2,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
4,2,TREE,BOB_ROSS,Bob Ross,Himself
4,2,TREES,BOB_ROSS,Bob Ross,Himself
4,3,BUSHES,BOB_ROSS,Bob Ross,Himself
4,3,CONIFER,BOB_ROSS,Bob Ross,Himself
4,3,GRASS,BOB_ROSS,Bob Ross,Himself
4,3,MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,3,MOUNTAINS,BOB_ROSS,Bob Ross,Himself
4,3,SNOWY_MOUNTAIN,BOB_ROSS,Bob Ross,Himself
4,3,TREE,BOB_ROSS,Bob Ross,Himself
4,3,TREES,BOB_ROSS,Bob Ross,Himself
4,5,BEACH,BOB_ROSS,Bob Ross,Himself
4,5,CLIFF,BOB_ROSS,Bob Ross,Himself
4,5,CLOUDS,BOB_ROSS,Bob Ross,Himself
4,5,CONIFER,BOB_ROSS,Bob Ross,Himself
4,5,CUMULUS,BOB_ROSS,Bob Ross,Himself
4,5,OCEAN,BOB_ROSS,Bob Ross,Himself
4,5,ROCKS,BOB_ROSS,Bob Ross,Himself
4,5,TREE,BOB_ROSS,Bob Ross,Himself
4,5,TREES,BOB_ROSS,Bob Ross,Himself
4,5,WAVES,BOB_ROSS,Bob Ross,Himself
4,6,BUSHES,BOB_ROSS,Bob Ross,Himself
4,6,DECIDUOUS,BOB_ROSS,Bob Ross,Himself
4,6,LAKE,BOB_ROSS,Bob Ross,Himself
4,6,TREE,BOB_ROSS,Bob Ross,Himself
4,6,TREES,BOB_ROSS,Bob Ross,Himself
