date,AAPL_open,AMZN_open,GME_open,KO_open,TSLA_open,VZ_open
2020-10-26,114.010002,3198.73999,14.93,50.34,411.630005,57.52
2020-10-27,115.489998,3224.939941,13.71,49.810001,423.76001,57.700001
2020-10-28,115.050003,3249.300049,12.27,49,416.480011,56.919998
2020-10-29,112.370003,3201.27002,11.88,47.73,409.959991,56.16
2020-10-30,111.059998,3157.75,11.64,47.810001,406.899994,56.599998
2020-11-02,109.110001,3061.73999,10.82,48.75,394,57.669998
2020-11-03,109.660004,3018.530029,10.75,49.220001,409.730011,57.810001
2020-11-04,114.139999,3159.98999,11.76,49.43,430.619995,57.189999
2020-11-05,117.949997,3319.969971,11.27,49.759998,428.299988,58.009998
2020-11-06,118.32,3304.639893,11.52,49.650002,436.100006,58.080002
2020-11-09,120.5,3231.030029,12.76,52.5,439.5,60.040001
2020-11-10,115.550003,3095.02002,11.5,52.57,420.089996,60.279999
2020-11-11,117.190002,3061.780029,11.5,53.93,416.450012,61.290001
2020-11-12,119.620003,3159.949951,11.74,53.049999,415.049988,60.91
2020-11-13,119.440002,3122,11.36,53.25,410.850006,60.630001
2020-11-16,118.919998,3093.199951,11.16,54.5,408.929993,60.810001
2020-11-17,119.550003,3183.540039,11.65,53.66,460.170013,60.560001
2020-11-18,118.610001,3134,11.8,53.75,448.350006,61.130001
2020-11-19,117.589996,3105.310059,11.6,52.490002,492,60.400002
2020-11-20,118.639999,3117.02002,12.55,53.189999,497.98999,60.209999
2020-11-23,117.18,3116.699951,12.9,52.950001,503.5,60.009998
2020-11-24,113.910004,3100.5,14.23,53.139999,540.400024,60.599998
2020-11-25,115.550003,3141.870117,13.6,53.07,550.059998,60.669998
2020-11-27,116.57,3211.26001,15.29,53.110001,581.159973,60.52
2020-11-30,116.970001,3208.47998,18.17,52.09,602.210022,60.32
2020-12-01,121.010002,3188.5,17.110001,52.139999,597.590027,60.43
2020-12-02,122.019997,3221.649902,15.7,51.900002,556.440002,61.400002
2020-12-03,123.519997,3205.459961,16.48,51.900002,590.02002,61.110001
2020-12-04,122.599998,3198.209961,16.299999,52.779999,591.01001,61.549999
2020-12-07,122.309998,3156.47998,17,53.759998,604.919983,61.52
2020-12-08,124.370003,3158.899902,16.370001,52.939999,625.51001,61.18
2020-12-09,124.529999,3167.889893,13.92,53.369999,653.690002,61.450001
2020-12-10,120.5,3088.98999,13.12,53.400002,574.369995,61.259998
2020-12-11,122.43,3096.659912,13.91,52.799999,615.01001,60.080002
2020-12-14,122.599998,3143,13.34,53.650002,619,60.610001
2020-12-15,124.339996,3181.01001,12.78,53.790001,643.280029,60.07
2020-12-16,127.410004,3176.01001,13.96,53.599998,628.22998,60.200001
2020-12-17,128.899994,3250,13.96,53.299999,628.190002,59.98
2020-12-18,128.960007,3243.98999,15.78,53.080002,668.900024,60
2020-12-21,125.019997,3200.01001,15.81,52.68,666.23999,60.060001
2020-12-22,131.610001,3202.840088,16.219999,52.810001,648,59.32
2020-12-23,132.160004,3205,20.17,52.950001,632.200012,59.200001
2020-12-24,131.320007,3193.899902,21.01,53.02,642.98999,59
2020-12-28,133.990005,3194,21.309999,53.849998,674.51001,59.16
2020-12-29,138.050003,3309.939941,20.82,54.450001,661,59.029999
2020-12-30,135.580002,3341,19.379999,54.049999,672,58.830002
2020-12-31,134.080002,3275,19.25,54.450001,699.98999,58.060001
2021-01-04,133.520004,3270,19,54.27,719.460022,58.959999
2021-01-05,128.889999,3166.01001,17.35,52.330002,723.659973,58.860001
2021-01-06,127.720001,3146.47998,17.34,51.970001,758.48999,58.810001
2021-01-07,128.360001,3157,18.469999,50.09,777.630005,58.27
2021-01-08,132.429993,3180,18.18,50.029999,856,58.23
2021-01-11,129.190002,3148.01001,19.41,50.619999,849.400024,57.75
2021-01-12,128.5,3120,19.959999,50.040001,831,57.27
2021-01-13,128.759995,3128.439941,20.42,49.98,852.76001,57.220001
2021-01-14,130.800003,3167.52002,38.09,50.16,843.390015,56.889999
2021-01-15,128.779999,3123.02002,38.490002,49.16,852,56.779999
2021-01-19,127.779999,3107,41.549999,48.740002,837.799988,57.439999
2021-01-20,128.660004,3181.98999,37.369999,48.540001,858.73999,57.009998
2021-01-21,133.800003,3293,39.23,48.779999,855,57.189999
2021-01-22,136.279999,3304.310059,42.59,48.810001,834.309998,57.169998
2021-01-25,143.070007,3328.5,96.730003,48.419998,855,57.470001
